Admin,pairs_n,points_n,ph_variogram_mean,ph_vario_sd,log_SOC_variogram_mean,log_SOC_vario_sd
10401021,36,8,0.20127055254433868,0.0021538604787624937,0.20471415492555203,4.740257418006457e-4
10401022,1,1,0.20015915366910572,NA,0.20446840982504272,NA
10401025,1,1,0.2035238848580575,NA,0.20520932710665696,NA
10401026,3,2,0.19885482335315244,7.049477357856426e-4,0.20418475162721408,1.5267102777429055e-4
10401031,10,4,0.20249760967023958,0.004148731595529341,0.20498870050828716,9.195978879087552e-4
10401032,6,3,0.19982892479283648,0.001329069797616936,0.20439719904334341,2.904171790546545e-4
10401033,3,2,0.19833866517685741,2.800967393640968e-4,0.20407290867959954,6.0323444087661194e-5
10401038,10,4,0.20039017857642588,0.0020622106010223817,0.2045211414915918,4.512505698857254e-4
10402001,1,1,0.198973685712204,NA,0.20421021453392757,NA
10402002,1,1,0.19818090594423532,NA,0.20403884307085063,NA
10402004,15,5,0.20296000545276996,0.004165797774885111,0.20509100054471502,9.240497586968685e-4
10402005,6,3,0.2017455982462972,0.0036357818837423088,0.2048213923748122,8.030129142415235e-4
10402006,3,2,0.2014593914942142,0.002106620755800629,0.2047549483832544,4.624044474089105e-4
10403001,1,1,0.19907707432147048,NA,0.20423265341249733,NA
10403002,1,1,0.19938154642652173,NA,0.2042988298552249,NA
10403004,1,1,0.1983805145743063,NA,0.204081853690175,NA
10403007,1,1,0.19804653998006813,NA,0.2040099726926544,NA
10404002,3,2,0.1984005081211673,2.6360435109586334e-4,0.20408622543578805,5.691059304999173e-5
10404003,6,3,0.1983186300706636,2.3977249354515263e-4,0.20406858154182173,5.1649303576830306e-5
10404004,3,2,0.20065653226525043,0.0018439073799451245,0.20457853246845425,4.031636081898953e-4
10404006,3,2,0.19905162304644344,5.929491082877029e-4,0.2042273292697145,1.2852564193490204e-4
10404008,6,3,0.19857237109594844,3.847074225103686e-4,0.2041234224230441,8.32237326888514e-5
10404010,6,3,0.20227785125459355,0.0037623819467986846,0.20493892201409453,8.308699139330615e-4
10404011,3,2,0.19860366725912967,5.20555165435633e-4,0.20413028117147328,1.1234959197832414e-4
10404901,1,1,0.20778965998779078,NA,0.2061612817168524,NA
10405002,3,2,0.20317058292415902,0.001072612359554554,0.2051313772975368,2.3721547002122096e-4
10405006,21,6,0.20032638214934342,0.0020669815560720945,0.20450705441667646,4.546837659101287e-4
10406001,1,1,0.201021283164269,NA,0.2046572389974737,NA
10406002,21,6,0.2023811916995072,0.00304139971238441,0.20496018838461882,6.746267183799543e-4
10407001,1,1,0.19871799067873988,NA,0.20415479797529795,NA
10407002,1,1,0.19815048321784265,NA,0.2040322992262313,NA
10407003,10,4,0.2016572717279296,0.0021543572039352033,0.20479907005114534,4.732677503842388e-4
10407004,3,2,0.2026851817809666,8.990207960056075e-4,0.20502393197260246,1.987282366220189e-4
10407005,21,6,0.20004195040173453,0.0013963745171301897,0.20444401413592767,3.043361666021896e-4
10407006,1,1,0.19852432493775,NA,0.20411290728673254,NA
10407007,3,2,0.19823833076399172,2.0355842267968547e-4,0.2040512474875433,4.385928115267395e-5
10407010,36,8,0.20239510977782735,0.003944882377604985,0.20496589718784414,8.750501258471742e-4
10407011,15,5,0.2027141062754026,0.0034028095655770467,0.20503456471282877,7.534906502159282e-4
